Date,First doses,Second doses,70% adults,80% adults
01/05,2117359,117485,"14,433,971","16,495,967"
02/05,2135549,118525,"14,433,971","16,495,967"
03/05,2141574,119041,"14,433,971","16,495,967"
04/05,2195119,121850,"14,433,971","16,495,967"
05/05,2269720,126594,"14,433,971","16,495,967"
06/05,2343040,130489,"14,433,971","16,495,967"
07/05,2419959,134572,"14,433,971","16,495,967"
08/05,2489057,138668,"14,433,971","16,495,967"
09/05,2514734,139604,"14,433,971","16,495,967"
10/05,2523339,139882,"14,433,971","16,495,967"
11/05,2593342,142765,"14,433,971","16,495,967"
12/05,2666215,146271,"14,433,971","16,495,967"
13/05,2744981,149789,"14,433,971","16,495,967"
14/05,2827555,153089,"14,433,971","16,495,967"
15/05,2899040,157757,"14,433,971","16,495,967"
16/05,2930003,159181,"14,433,971","16,495,967"
17/05,2940934,159203,"14,433,971","16,495,967"
18/05,2661630,521694,"14,433,971","16,495,967"
19/05,2753524,525330,"14,433,971","16,495,967"
20/05,2842909,528819,"14,433,971","16,495,967"
21/05,2939552,533322,"14,433,971","16,495,967"
22/05,3027109,536386,"14,433,971","16,495,967"
23/05,3051014,549950,"14,433,971","16,495,967"
24/05,3063981,550072,"14,433,971","16,495,967"
25/05,3074844,615778,"14,433,971","16,495,967"
26/05,3175147,620133,"14,433,971","16,495,967"
27/05,3281793,624875,"14,433,971","16,495,967"
28/05,3403809,627729,"14,433,971","16,495,967"
29/05,3520938,632211,"14,433,971","16,495,967"
30/05,3578544,632557,"14,433,971","16,495,967"
31/05,3611026,632574,"14,433,971","16,495,967"
01/06,3675982,686757,"14,433,971","16,495,967"
02/06,3807063,694381,"14,433,971","16,495,967"
03/06,3939705,702998,"14,433,971","16,495,967"
04/06,4077125,709237,"14,433,971","16,495,967"
05/06,4213247,714360,"14,433,971","16,495,967"
06/06,4301884,714468,"14,433,971","16,495,967"
07/07,4277519,798894,"14,433,971","16,495,967"
08/06,4397884,806093,"14,433,971","16,495,967"
09/06,4530913,813949,"14,433,971","16,495,967"
10/06,4669102,818568,"14,433,971","16,495,967"
11/06,4816261,824747,"14,433,971","16,495,967"
12/06,4943387,830537,"14,433,971","16,495,967"
13/06,5004174,830572,"14,433,971","16,495,967"
14/06,5036715,830584,"14,433,971","16,495,967"
15/06,4971129,960116,"14,433,971","16,495,967"
16/06,5115577,967743,"14,433,971","16,495,967"
17/06,5248567,970763,"14,433,971","16,495,967"
18/06,5381232,979434,"14,433,971","16,495,967"
19/06,5509804,981672,"14,433,971","16,495,967"
20/06,5574357,981672,"14,433,971","16,495,967"
21/06,5315261,1275480,"14,433,971","16,495,967"
22/06,5437689,1281695,"14,433,971","16,495,967"
23/06,5577097,1283179,"14,433,971","16,495,967"
24/06,5712282,1286916,"14,433,971","16,495,967"
25/06,5848204,1289428,"14,433,971","16,495,967"
26/06,5966591,1291014,"14,433,971","16,495,967"
27/06,6035179,1291141,"14,433,971","16,495,967"
28/06,5725702,1648964,"14,433,971","16,495,967"
29/06,5824122,1676578,"14,433,971","16,495,967"
30/06,5959760,1685825,"14,433,971","16,495,967"
01/07,6109102,1633434,"14,433,971","16,495,967"
02/07,6201288,1726030,"14,433,971","16,495,967"
03/07,6274108,1807994,"14,433,971","16,495,967"
04/07,6319609,1855470,"14,433,971","16,495,967"
05/07,6319609,1855470,"14,433,971","16,495,967"
06/07,6319609,1855470,"14,433,971","16,495,967"
07/07,6319609,1855470,"14,433,971","16,495,967"
08/07,6319609,1855470,"14,433,971","16,495,967"
