Date,Original ($m),Seasonally Adjusted ($m)
Oct-14,715,675.9
Nov-14,752.3,674.3
Dec-14,863.2,687.5
Jan-15,665.5,708.8
Feb-15,615.5,719.1
Mar-15,719.4,751.2
Apr-15,697.1,753.9
May-15,740.1,765.9
Jun-15,790.5,788.5
Jul-15,750.9,772.5
Aug-15,760.8,795.9
Sep-15,794.6,797.6
Oct-15,789.3,761.7
Nov-15,892.7,777.6
Dec-15,998.9,803.1
Jan-16,780.6,845.7
Feb-16,732.2,821.2
Mar-16,810.6,834.7
Apr-16,771.4,854.9
May-16,840.4,860.4
Jun-16,904.1,887.8
Jul-16,827.3,877.4
Aug-16,871.8,895.5
Sep-16,923.8,926.7
Oct-16,986,959.7
Nov-16,"1,108.80",954.3
Dec-16,"1,265.10","1,021.50"
Jan-17,903,977.9
Feb-17,825.4,964
Mar-17,939.1,963.6
Apr-17,862,953.1
May-17,"1,000.70","1,009"
Jun-17,"1,039.30","1,032.50"
Jul-17,"1,048.20","1,097.40"
Aug-17,"1,133.80","1,155.10"
Sep-17,"1,109.30","1,141.20"
Oct-17,"1,234.80","1,203.20"
Nov-17,"1,510.60","1,265.30"
Dec-17,"1,601.80","1,313.50"
Jan-18,"1,229.40","1,331.60"
Feb-18,"1,201.20","1,408.80"
Mar-18,"1,360.60","1,428.10"
Apr-18,"1,351.90","1,468"
May-18,"1,483.50","1,486"
Jun-18,"1,484.00","1,510.70"
Jul-18,"1,447.60","1,503.20"
Aug-18,"1,499.00","1,502.40"
Sep-18,"1,485.40","1,533.30"
Oct-18,"1,621.50","1,578.80"
Nov-18,"1,929.60","1,624.70"
Dec-18,"1,950.60","1,594.80"
Jan-19,"1,520.10","1,648.80"
Feb-19,"1,388.00","1,626.80"
Mar-19,"1,560.70","1,657.90"
Apr-19,"1,513.80","1,659.50"
May-19,"1,693.10","1,675.90"
Jun-19,"1,659.10","1,685.80"
Jul-19,"1,680.50","1,727.50"
Aug-19,"1,737.60","1,755.10"
Sep-19,"1,758.30","1,789.20"
Oct-19,"1,867.20","1,820.80"
Nov-19,"2,118.40","1,820.60"
Dec-19,"2,306.70","1,885.50"
Jan-20,"1,650.50","1,781.10"
Feb-20,"1,675.80","1,915.60"
Mar-20,"2,069.00","2,196.60"
Apr-20,"2,615.40","2,792"
May-20,"2,859.10","2,892.80"
Jun-20,"2,766.60","2,814.60"
Jul-20,"2,950.50","2,981.30"
Aug-20,"3,135.70","3,153.80"
Sep-20,"3,010.00","3,102.40"
Oct-20,"3,157.60","3,110"
